"INDEX","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","JOB_EDU","HOME_INCOME","MVR_PTS_Trans","AGE_SEX","BLUEBOOK_TRAN","TARGET_FLAG_Proba","TARGET_FLAG","TARGET_AMT"
60,0,42,0,13,52988,0,176275,1,0,2,3,24,1,23450,1,1,0,0,0,0,2,11,0,2,131.402194829886,1,3.76120011569356,121.354336663066,0.1,0,0
62,0,41,2,7,17755,1,148815,0,1,1,4,29,0,14480,1,1,1,0,0,1,2,1,1,1,116.537700911145,1,7.47533923656674,100.413012974496,0.7,1,3968.75731273358
63,1,37,2,13,32256,1,0,0,1,2,3,62,1,9360,4,6,0,0,0,0,0,6,1,2,0,0,7.27517231945277,84.5271418589068,0.9,1,3643.28585396315
64,0,36,3,12,56048,0,137836,1,0,4,7,15,0,10700,6,1,0,2045,2,0,2,16,1,3,129.390847688825,1,3.61091791264422,89.1188993444409,0.3,0,0
68,0,34,3,12,22510,0,123888,1,0,2,4,26,0,14690,4,1,1,0,0,1,0,1,0,2,117.526587884963,0,3.55534806148941,100.983944090606,0.2,0,0
75,0,35,2,12,10376,1,0,0,1,1,3,43,0,9730,5,2,0,0,0,0,4,4,1,1,0,2,7.16703787691222,85.8334439876801,0.8,1,3837.74416233538
76,2,44,2,14,45576,0,156623,1,1,1,3,27,0,1500,4,6,0,25276,1,0,8,1,1,1,128.314014381876,2,7.61332497954064,40.5424053774084,0.8,1,3368.03542233403
83,0,48,0,9,61509,0,195438,1,0,4,5,40,1,23230,6,5,1,0,0,0,1,17,1,3,134.341432857746,1,3.89182029811063,120.906656138691,0.4,0,0
87,0,62,0,15,40656,0,208242,1,1,2,4,57,0,9170,4,6,0,42342,2,1,2,7,1,2,129.970787478863,1,8.28626945278307,83.843949040931,0.8,1,3734.52787573181
92,0,39,0,11,33727,0,0,0,1,3,4,27,0,10850,1,2,0,8350,1,0,2,12,1,2,0,1,7.37775890822787,89.6103433066445,0.6,1,3788.03030570335
98,0,38,0,0,0,0,0,1,0,2,1,41,1,17470,10,3,0,3157,2,0,5,6,0,1,0,2,3.66356164612965,108.109733277035,0.4,0,0
106,0,39,2,0,0,0,69369,1,1,2,2,36,0,8750,4,6,0,0,0,0,0,8,1,1,0,0,7.37775890822787,82.3021477583951,0.6,1,3606.8335970256
107,2,44,2,13,142588,0,365256,1,0,4,6,28,0,21790,6,1,1,0,0,0,2,9,1,3,152.006009607042,1,3.80666248977032,117.909774807328,0.2,0,0
113,0,45,0,12,32394,0,0,0,1,2,4,33,0,13770,4,2,0,0,0,0,0,1,1,2,0,0,7.65728279297819,98.4440375527639,0.5,1,3836.13356983381
120,0,43,1,0,0,0,70170,1,1,3,2,26,0,8350,1,2,0,0,0,0,3,7,1,2,0,1,7.56837926783652,80.7907706357899,0.6,1,3700.40780947838
123,0,64,0,15,31738,0,197010,1,0,1,3,23,1,14620,6,2,0,3994,2,0,0,1,1,1,126.363544294988,0,4.17438726989564,100.794195790589,0.5,1,3875.50754512163
125,0,60,0,9,125893,0,0,0,0,5,5,21,1,7500,9,4,1,7278,2,0,4,15,1,3,0,2,4.11087386417331,77.4240059523278,0.6,1,3710.40838303196
126,2,35,4,6,154577,1,397868,0,1,3,3,27,0,20450,6,2,0,4645,1,0,3,1,1,2,154.061910491505,1,7.16703787691222,115.009314176801,0.5,1,4298.60057280711
128,0,52,0,11,79348,0,270032,1,1,2,6,23,0,13150,11,2,0,0,0,0,2,1,1,2,141.091207019547,1,7.94058382710424,96.6728242972112,0.2,0,0
129,0,56,2,14,192089,0,471701,1,0,5,8,31,1,21100,1,3,1,0,0,0,0,15,1,4,158.934206351848,0,4.04305126783455,116.43042496994,0.2,0,0
131,0,55,0,15,108152,0,329756,1,1,4,6,18,0,12320,1,2,0,0,0,1,0,15,1,3,147.280375470375,0,8.0507033814703,94.2191784324796,0.3,0,0
135,0,26,0,8,53244,0,0,0,0,3,5,28,1,20920,3,3,1,6224,1,0,1,8,1,3,0,1,3.29583686600433,116.03961934536,0.6,1,4203.74566268534
141,0,52,0,8,88560,0,244028,1,0,4,7,14,0,13630,1,1,0,0,0,0,4,17,1,3,141.311380711153,2,3.97029191355212,98.0484510299969,0.2,0,0
147,0,41,0,12,110386,0,335488,1,0,4,6,21,1,16640,1,3,1,0,0,0,2,14,1,3,147.740265022731,1,3.73766961828337,106.060383056189,0.3,0,0
148,0,49,0,12,53765,0,0,0,1,3,5,5,0,12360,4,2,0,0,0,0,0,1,1,3,0,0,7.82404601085629,94.3397233265459,0.4,0,0
151,0,30,2,11,26226,0,165178,1,1,2,4,68,0,23610,4,2,0,0,0,0,1,1,0,2,122.244967100641,1,6.86797440897029,121.678299492947,0.2,0,0
156,1,34,3,12,29431,0,143149,1,1,1,4,12,0,22560,1,1,0,0,0,0,1,1,1,1,122.157335495787,1,7.11069612297883,119.526953825882,0.4,0,0
157,0,44,0,14,44790,0,205463,1,1,4,3,5,1,19800,4,4,0,37163,1,0,4,9,1,2,131.012804414537,2,7.61332497954064,113.560090918087,0.6,1,4346.28011243224
174,0,49,0,6,38326,0,133010,1,0,4,7,5,0,10230,4,4,1,0,0,0,0,17,1,3,124.517003602223,0,3.91202300542815,87.5509746867151,0.2,0,0
186,1,40,2,12,35260,0,141167,1,1,1,3,30,0,9740,7,2,0,2235,1,0,8,1,1,1,124.156499269858,2,7.42714413340862,85.8683210976461,0.6,1,4060.93794567707
193,0,26,3,9,33283,0,104323,1,0,3,3,37,1,7690,10,4,0,0,0,0,2,16,1,2,120.322947866716,1,3.29583686600433,78.1962109562428,0.6,1,3619.75152039077
195,0,46,0,7,26697,0,134863,1,1,1,4,43,0,15080,6,2,0,0,0,1,4,1,1,1,120.392192244065,2,7.70029520342012,102.031046863802,0.6,1,4119.97334766051
212,0,50,0,7,73308,0,240645,0,0,4,7,38,0,18720,7,3,0,0,0,0,2,19,0,3,138.810338912,1,3.93182563272433,111.08586304894,0.1,0,0
213,0,62,0,12,22181,0,185459,0,1,2,4,24,0,17880,7,6,0,9873,3,0,5,1,1,2,121.391301100367,2,8.28626945278307,109.099957867949,0.7,1,4350.85211355655
217,0,53,1,13,52759,0,164906,1,1,3,5,41,0,24160,9,1,0,0,0,0,0,13,0,3,130.624948103684,0,7.97796809312855,122.781716104484,0.1,0,0
223,0,44,0,4,146267,0,357184,1,0,4,5,51,1,6720,4,4,0,0,0,0,0,10,1,3,152.066510569529,0,3.80666248977032,74.120785714118,0.4,0,0
226,0,48,1,10,84629,0,308848,1,1,3,6,35,0,15060,7,2,0,9592,1,0,0,10,1,3,143.420893040487,0,7.78364059622125,101.977757932168,0.3,0,0
228,1,45,2,17,111268,0,288071,1,1,4,7,46,0,24600,1,3,0,28026,2,1,2,10,1,3,146.070925541511,1,7.65728279297819,123.653355338737,0.6,1,4404.46763124617
230,0,41,0,10,97700,0,0,0,1,3,2,43,0,26250,8,4,0,0,0,0,0,6,0,2,0,0,7.47533923656674,126.839072053096,0.2,0,0
241,0,32,3,13,30955,1,111256,0,1,2,4,9,0,7800,4,2,0,0,0,1,0,8,1,2,120.15038746405,0,6.99301512293296,78.6379142069227,0.6,1,3515.02924817141
243,0,49,1,15,89612,0,261946,1,0,4,5,23,1,6400,10,4,1,0,0,0,0,23,1,3,142.265848684611,0,3.91202300542815,72.6972668427947,0.3,0,0
249,0,41,0,12,80718,0,0,0,1,3,5,29,0,26480,11,6,0,8623,3,0,5,8,1,3,0,2,7.47533923656674,127.273243829077,0.6,1,4701.95634449867
281,1,44,2,15,46140,0,169084,1,0,2,3,29,1,10510,1,4,0,4276,3,0,7,1,1,2,129.283270056301,2,3.80666248977032,88.4902706178241,0.8,1,4070.59067923016
288,0,47,0,12,80105,0,0,0,0,4,6,29,0,14210,6,1,1,0,0,0,1,12,1,3,0,1,3.87120101090789,99.6714111018414,0.3,0,0
294,2,41,2,8,0,0,0,1,0,1,1,43,1,5850,1,4,1,9419,1,0,5,6,0,0,0,2,3.73766961828337,70.1443380996309,0.7,1,3651.74686926735
295,0,41,2,10,78675,1,265450,0,0,3,3,33,1,13470,11,1,1,0,0,0,0,3,1,2,140.791755545157,0,3.73766961828337,97.5932742479082,0.4,0,0
300,0,50,0,10,219024,0,0,0,0,5,7,27,1,23370,4,5,1,4117,2,0,4,20,1,4,0,2,3.93182563272433,121.191844372509,0.6,1,4494.31278976413
302,0,51,0,10,55573,0,0,0,1,4,7,18,0,12160,1,2,0,9768,1,0,6,14,1,3,0,2,7.90248743716286,93.7345721311815,0.6,1,4076.2369870041
303,0,53,0,8,61862,0,245885,1,0,5,8,33,0,11270,1,4,1,0,0,0,0,14,1,4,136.944470236443,0,3.98898404656427,90.9644989555246,0.2,0,0
308,0,32,3,14,21944,0,128776,1,1,1,3,34,0,7270,1,2,0,0,0,1,1,1,1,1,117.614777943459,1,6.99301512293296,76.4729277668287,0.7,1,3535.82767285298
319,0,48,0,14,42008,0,176219,1,1,4,7,23,0,10000,4,2,0,0,0,0,0,14,0,3,128.593875738618,0,7.78364059622125,86.7674893013625,0.1,0,0
320,0,54,0,8,90149,0,261569,1,1,4,6,17,0,15910,4,2,0,0,0,0,1,10,1,3,142.323954321356,1,8.01466637046494,104.205222349642,0.2,0,0
324,0,55,0,15,75249,0,0,0,0,4,5,5,1,17020,1,3,1,1316,2,0,1,21,1,3,0,1,4.02535169073515,107.006275954145,0.6,1,4031.76335329874
331,0,51,0,11,117016,0,0,0,1,4,6,23,0,20320,4,1,0,1197,2,0,6,8,1,3,0,2,7.90248743716286,114.721764932896,0.5,0,0
343,0,47,0,7,76462,0,229334,1,0,3,5,29,0,13850,6,1,1,0,0,0,0,7,1,3,138.790946918821,0,3.87120101090789,98.6689752078806,0.2,0,0
347,0,44,1,10,0,0,70461,1,1,4,2,19,0,2640,4,6,0,2219,2,0,1,13,1,2,0,1,7.61332497954064,50.9984061660626,0.7,1,3189.26912249585
348,0,36,0,13,20891,0,134406,1,1,2,3,39,1,5100,1,2,0,2949,2,0,9,7,1,2,117.461856423475,2,7.22183582528845,66.412255661046,0.8,1,3779.7610081301
350,0,35,2,10,17493,1,102902,0,1,1,4,52,0,19340,9,1,0,5658,3,0,7,1,1,1,112.75640232082,2,7.16703787691222,112.516682709069,0.8,1,4485.22825020558
357,0,43,0,11,39848,0,136304,0,1,4,7,45,0,18060,8,2,0,0,0,0,0,15,1,3,125.23559185711,0,7.56837926783652,109.530271489539,0.3,0,0
358,0,42,1,12,117978,1,0,0,1,3,3,17,1,28700,1,2,0,0,0,0,0,7,0,2,0,0,7.52240023138712,131.349382706129,0.3,0,0
360,0,56,0,12,62483,0,225263,1,1,3,6,18,0,20940,6,1,0,0,0,0,0,8,1,3,136.101168823677,0,8.0861025356691,116.083144253312,0.2,0,0
366,0,39,0,14,73367,0,0,0,0,3,5,36,0,12740,6,1,1,3320,1,0,4,7,1,3,0,2,3.68887945411394,95.4730971470443,0.5,1,3989.72706408442
367,0,32,4,15,4478,1,0,0,1,1,1,7,0,6780,4,2,0,7181,3,0,5,8,1,0,0,2,6.99301512293296,74.3830158939272,0.9,1,3699.89595703194
368,0,44,1,9,5952,0,0,1,0,3,1,22,1,6500,4,4,1,0,0,0,0,10,1,1,0,0,3.80666248977032,73.1467359641131,0.6,1,3447.78070091144
376,0,44,1,11,75046,0,244819,1,0,2,3,56,1,9000,4,4,1,3288,3,0,6,10,1,2,139.293719951477,2,3.80666248977032,83.2252387437979,0.8,1,3916.57099973079
380,0,38,0,10,75432,0,0,0,1,3,6,51,0,16260,1,2,0,8035,3,0,0,13,1,3,0,0,7.32712329225929,105.101084884814,0.6,1,3939.5363083935
388,0,35,3,13,64872,0,187354,1,1,1,4,44,0,11490,1,2,0,0,0,0,3,8,1,1,134.521894040641,1,7.16703787691222,91.6614306960084,0.5,1,3878.63432096844
396,0,55,0,14,66964,0,0,0,0,4,7,47,0,13700,6,1,1,6183,3,0,3,18,1,3,0,1,4.02535169073515,98.2465556462929,0.5,1,3973.6748263925
398,0,42,2,11,34210,0,186734,1,0,2,4,34,0,12880,6,1,1,1830,1,0,0,1,1,2,126.718605611086,0,3.76120011569356,95.8853997511284,0.3,0,0
403,1,43,2,11,24124,0,157794,1,1,1,3,40,0,8140,7,2,0,0,0,0,0,1,0,1,120.779750737227,0,7.56837926783652,79.9793900366777,0.2,0,0
410,0,44,0,12,39852,0,125283,1,1,2,3,37,1,7410,1,2,0,3704,2,0,0,6,1,2,124.343666958309,0,7.61332497954064,77.0540146332076,0.6,1,3492.27561140867
412,0,51,0,13,65702,0,0,0,1,4,7,27,0,15820,1,2,0,7181,2,0,3,1,1,3,0,1,7.90248743716286,103.972898848863,0.6,1,4097.32886813356
420,0,34,1,12,68833,0,183087,1,1,3,4,35,1,21940,4,4,0,1494,2,0,3,9,1,2,134.984797873899,1,7.11069612297883,118.227539070029,0.6,1,4373.8860671833
434,1,40,2,6,54159,0,180764,1,0,1,3,65,0,16920,10,3,1,0,0,0,1,1,0,1,131.940332238504,1,3.71357206670431,106.75862898002,0.2,0,0
440,0,37,3,17,6217,0,0,1,1,2,1,27,1,22260,10,4,0,0,0,1,0,4,1,1,0,0,7.27517231945277,118.900990054093,0.7,1,4211.00349124941
450,0,58,0,14,39707,0,192089,1,0,1,3,29,1,16870,1,3,1,3546,1,0,6,6,1,1,128.826548101364,2,4.07753744390572,106.634467225967,0.7,1,4328.5922708552
453,0,50,0,10,24358,0,128210,1,0,1,3,11,0,17790,3,3,0,0,0,1,0,7,1,1,118.798192875401,0,3.93182563272433,108.883799697501,0.4,0,0
464,0,46,0,7,106409,0,0,0,1,4,5,42,1,24410,6,4,0,6948,1,0,0,18,1,3,0,0,7.70029520342012,123.278153973173,0.6,1,4280.22173996789
465,0,53,0,14,59797,0,178230,1,1,5,8,35,0,18070,4,1,0,0,0,0,0,16,1,4,132.983807493815,0,7.97796809312855,109.554100161837,0.2,0,0
466,0,63,2,10,52064,0,159254,1,1,2,3,16,1,11770,1,6,0,834,2,0,8,1,1,2,130.086898203278,2,8.31776616671934,92.5366448032816,0.8,1,4221.74876607181
473,0,53,0,7,77012,0,316239,1,0,5,8,22,0,21440,1,3,0,8744,2,0,0,13,1,4,142.494790908973,0,3.98898404656427,117.163045881237,0.2,0,0
476,0,36,0,11,17085,0,0,1,1,2,1,58,0,15840,7,6,0,4070,2,0,2,1,0,1,0,1,7.22183582528845,104.024596531586,0.4,0,0
478,0,43,0,13,238856,0,504107,1,0,4,6,19,1,29690,11,5,1,0,0,0,0,22,1,3,162.603693975101,0,3.78418963391826,133.104492251746,0.1,0,0
479,0,54,0,12,69625,0,271183,1,1,3,6,51,0,22340,1,2,0,3155,1,0,2,12,1,3,139.503840298838,1,8.01466637046494,119.068419433284,0.4,0,0
493,0,39,3,16,42535,0,189139,1,0,2,4,22,1,19330,4,3,1,0,0,0,1,8,0,2,129.498575938383,1,3.68887945411394,112.493830970358,0.2,0,0
497,1,43,2,14,81674,0,233744,1,0,3,6,39,1,34680,1,5,0,0,0,0,1,10,1,3,139.820283301772,1,3.78418963391826,141.443063591584,0.5,0,0
503,0,51,0,13,34658,0,159187,1,0,3,5,31,0,15660,1,1,0,0,0,0,0,11,0,3,125.208119382389,0,3.95124371858143,103.557860116045,0.1,0,0
504,0,42,0,0,0,0,0,0,1,2,2,5,0,25540,1,6,0,0,0,0,0,1,1,1,0,0,7.52240023138712,125.483827577429,0.6,1,4357.14216047492
505,0,41,0,6,86227,0,237057,0,0,4,6,28,1,19530,9,3,0,2948,3,0,2,17,1,3,140.650832047521,1,3.73766961828337,112.94948957225,0.5,0,0
507,0,35,1,12,77126,0,242001,1,0,2,6,5,1,11510,10,4,1,3079,3,0,0,1,1,2,139.502666488743,0,3.58351893845611,91.7243789815416,0.4,0,0
513,0,35,2,0,0,0,0,1,1,1,1,32,0,4810,1,2,0,0,0,0,0,6,1,0,0,0,7.16703787691222,64.8786430507095,0.6,1,3312.32524706276
519,1,41,3,5,30043,1,125625,0,0,2,4,22,0,16860,4,3,1,0,0,0,0,1,1,2,121.055285913375,0,3.73766961828337,106.609607675665,0.5,1,3984.49423754122
521,0,43,0,14,54932,0,225678,1,0,2,4,37,1,11290,4,4,1,5076,3,0,5,1,1,2,134.533839168426,2,3.78418963391826,91.028200905734,0.7,1,4002.49433112797
522,0,42,0,8,94591,0,309644,0,0,1,3,21,1,17470,6,3,1,16121,3,1,3,8,1,1,144.857082713486,1,3.76120011569356,108.109733277035,0.7,1,4176.26693630368
545,1,56,2,17,13614,0,315504,1,1,3,5,32,0,28740,1,1,0,0,0,0,1,6,1,3,120.527990657571,1,8.0861025356691,131.421013192383,0.3,0,0
549,0,40,1,13,79715,1,0,0,1,3,4,6,0,23140,10,1,0,0,0,0,0,7,1,2,0,0,7.42714413340862,120.72276122421,0.3,0,0
551,0,51,0,12,40760,0,186223,0,0,3,5,24,0,11880,1,4,0,0,0,0,0,8,1,3,128.815736239147,0,3.95124371858143,92.8769671803167,0.4,0,0
556,0,38,0,10,28409,0,0,0,0,2,4,27,1,8140,10,4,1,0,0,0,1,7,0,2,0,1,3.66356164612965,79.9793900366777,0.3,0,0
557,0,27,3,9,69794,1,0,0,1,3,5,24,0,14660,4,2,0,2848,1,0,3,6,1,3,0,1,6.66440902035041,100.90269175981,0.6,1,4039.11319665823
559,1,42,2,15,85408,0,274402,1,1,2,3,32,1,20170,10,1,0,697,2,0,0,8,1,2,142.193908667898,0,7.52240023138712,114.38856529207,0.4,0,0
560,0,55,0,11,3865,0,0,0,1,1,2,27,0,16600,1,2,0,6089,2,1,0,1,1,1,0,0,8.0507033814703,105.960044172379,0.8,1,3963.48118999275
566,0,43,0,7,58112,0,0,0,0,3,4,34,0,1500,4,1,1,0,0,0,2,11,0,2,0,1,3.78418963391826,40.5424053774084,0.2,0,0
569,0,54,0,12,65298,0,213225,1,1,2,4,5,0,8030,17,2,0,4528,3,0,5,1,1,2,136.035398080192,2,8.01466637046494,79.549226512338,0.4,0,0
573,1,37,2,9,54349,0,212419,1,1,2,6,28,0,10630,13,2,0,1381,1,0,4,11,1,2,133.742146820342,2,7.27517231945277,88.8881056479226,0.4,0,0
578,0,44,0,12,39196,0,0,0,1,2,3,32,1,10770,1,2,0,0,0,0,2,8,1,2,0,1,7.61332497954064,89.3487645837957,0.7,1,3786.66394322209
579,0,44,2,7,20324,0,147038,1,1,2,4,20,0,10280,1,6,0,0,0,0,0,1,0,2,118.027978243592,0,7.61332497954064,87.7198576463296,0.2,0,0
582,2,37,3,11,159092,0,382687,1,0,3,3,29,0,15050,6,1,1,1927,3,0,0,8,0,2,153.96717873399,0,3.63758615972639,101.951097113618,0.1,0,0
596,0,31,2,0,0,0,0,1,1,1,1,48,0,7740,4,6,0,7323,1,0,7,1,1,0,0,2,6.93147180559945,78.397464516415,0.9,1,3915.19221608343
598,2,36,2,0,0,0,110346,1,1,2,2,28,0,5100,4,1,0,39425,3,1,1,9,1,1,0,1,7.22183582528845,66.412255661046,0.8,1,3371.02204190346
599,0,54,0,12,77267,0,0,0,1,3,6,14,0,14630,1,2,0,8395,2,0,0,9,1,3,0,0,8.01466637046494,100.821336912937,0.5,0,0
602,0,39,0,0,0,0,0,0,1,2,1,53,1,5500,1,6,0,0,0,0,0,8,0,1,0,0,7.37775890822787,68.4418388198128,0.6,1,3396.02601944396
605,1,57,2,0,0,0,0,1,0,2,1,29,0,9240,1,4,1,8336,2,1,5,1,1,1,0,2,4.06044301054642,84.0966574975709,0.9,1,3883.74364661748
617,0,34,2,0,0,1,0,0,1,2,1,22,0,11520,9,2,0,0,0,1,0,9,1,1,0,0,7.11069612297883,91.7558278525528,0.7,1,3720.47911060546
619,0,48,0,10,7302,0,0,0,1,1,1,27,0,7030,10,2,0,3564,1,0,3,1,1,0,0,1,7.78364059622125,75.460518510577,0.7,1,3619.89966769597
630,0,52,0,15,88691,0,279497,1,0,3,3,40,0,18200,4,3,1,1261,4,0,2,10,1,2,142.8758285883,1,3.97029191355212,109.863136263047,0.5,0,0
634,1,58,2,17,3272,0,0,1,0,1,1,42,0,7200,1,1,1,5086,2,0,2,5,1,0,0,1,4.07753744390572,76.1797967048675,0.8,1,3569.34328036853
643,0,45,0,14,65466,0,212677,1,0,2,3,24,1,7080,3,4,0,0,0,0,2,1,1,2,136.038389167904,1,3.8286413964891,75.6731731034621,0.5,1,3590.71680144414
645,0,72,0,16,63890,0,256797,1,1,4,7,41,0,9100,7,6,0,4448,3,0,0,6,1,3,137.825313845386,0,8.58091888229678,83.5900491491426,0.5,0,0
647,0,48,0,8,43075,0,175858,1,1,2,6,52,0,13970,4,2,0,5878,2,0,3,11,1,2,128.874972674318,1,7.78364059622125,99.0048856050731,0.5,0,0
649,0,49,0,9,90658,0,276028,0,1,3,3,7,1,12350,13,1,0,0,0,0,0,7,1,2,143.008353965946,0,7.82404601085629,94.3096096646473,0.3,0,0
656,0,57,0,14,200772,0,465304,0,1,5,8,27,0,9270,1,2,0,0,0,0,0,14,1,4,159.345063784285,0,8.12088602109284,84.2046000136245,0.2,0,0
657,0,22,0,10,36821,0,193948,0,1,4,8,23,0,29390,6,4,0,8502,2,0,0,20,1,3,128.009818426679,0,6.2709884318583,132.576499743567,0.3,0,0
658,0,53,0,13,108744,0,333039,1,0,4,5,5,1,5430,1,4,1,3267,1,0,0,14,1,3,147.4646198775,0,3.98898404656427,68.0933880734538,0.4,0,0
667,0,50,0,14,30795,0,174778,1,0,2,4,53,1,8920,6,4,1,0,0,0,0,1,0,2,124.758345042175,0,3.93182563272433,82.931588116625,0.2,0,0
692,0,59,0,12,155410,0,422815,1,0,3,6,40,1,33330,7,5,1,4765,3,0,4,10,1,3,154.858170916846,2,4.0943445622221,139.26435346806,0.4,0,0
693,0,33,3,7,20324,0,147326,1,1,1,3,38,0,22520,5,1,0,3075,1,0,6,1,1,1,118.04738841806,2,7.05272104923232,119.443789526959,0.5,1,4558.25263328711
698,0,48,0,11,26875,0,0,0,0,2,4,18,1,10450,1,4,0,3830,1,0,8,6,1,2,0,2,3.89182029811063,88.290303063265,0.8,1,4120.18650685799
699,1,42,3,11,99269,1,306012,0,0,3,5,34,1,25910,7,5,1,45894,2,1,1,10,1,3,145.331622124128,1,3.76120011569356,126.192937807743,0.8,1,4413.35713480962
700,0,50,0,11,102262,0,0,0,0,2,3,39,1,16730,14,3,1,0,0,0,0,8,0,2,0,0,3.93182563272433,106.28560343864,0.2,0,0
704,0,53,0,2,13753,0,0,0,1,1,2,49,0,2880,4,6,0,0,0,0,1,1,0,1,0,1,7.97796809312855,52.8189095795532,0.5,0,0
707,0,49,0,9,60368,0,170643,1,0,3,6,16,0,6400,4,4,0,0,0,0,0,4,1,3,132.619844433006,0,3.91202300542815,72.6972668427947,0.3,0,0
708,0,21,1,8,18483,1,0,0,1,2,4,20,0,8150,1,6,0,7781,2,0,3,1,1,2,0,1,6.18208490671663,80.0183177643463,0.8,1,3728.89281493375
709,0,50,0,9,58628,0,0,0,0,4,7,14,0,12360,1,1,1,0,0,0,0,15,1,3,0,0,3.93182563272433,94.3397233265459,0.3,0,0
713,0,53,0,0,0,0,105085,1,0,4,2,31,0,6800,11,4,1,0,0,0,0,14,1,2,0,0,3.98898404656427,74.4701080573775,0.4,0,0
714,0,49,0,2,81280,0,241420,1,0,3,5,24,0,14530,1,1,0,0,0,0,0,6,1,3,140.125808111509,0,3.91202300542815,100.549409317483,0.2,0,0
716,1,38,2,13,38317,0,125157,1,1,5,8,44,0,1500,1,6,0,2896,1,0,8,8,1,4,123.871990050669,2,7.32712329225929,40.5424053774084,0.7,1,3363.46583127694
718,0,53,0,11,70026,0,0,0,1,4,7,39,0,18780,10,4,0,0,0,0,0,11,1,3,0,0,7.97796809312855,111.225593823113,0.4,0,0
722,0,49,0,8,50840,0,0,0,0,4,7,26,0,12910,4,1,0,0,0,0,0,17,1,3,0,0,3.91202300542815,95.9733905969259,0.3,0,0
729,0,48,0,8,134140,0,0,0,0,5,6,34,1,30240,1,5,0,7478,2,0,6,13,1,3,0,2,3.89182029811063,134.06400526594,0.7,1,4893.94683772498
731,0,53,0,13,154207,0,499433,1,0,5,8,26,0,14610,6,1,0,0,0,0,0,5,1,4,156.746978412713,0,3.98898404656427,100.767043227171,0.1,0,0
733,0,51,0,4,72453,0,0,0,1,5,8,52,0,13850,1,2,0,2847,4,0,7,15,1,4,0,2,7.90248743716286,98.6689752078806,0.7,1,4222.25650307474
746,2,37,2,5,39857,0,235987,1,0,3,4,50,0,11270,1,1,1,0,0,0,3,1,1,2,131.052653477518,1,3.63758615972639,90.9644989555246,0.5,1,3862.62616922694
747,0,26,3,13,14822,1,0,0,1,1,4,5,0,8830,10,6,0,7486,3,0,9,1,1,1,0,2,6.59167373200866,82.5992848856547,0.9,1,4100.13393920552
748,0,47,0,0,0,0,56266,1,1,3,2,32,0,6200,1,2,0,0,0,1,0,1,1,2,0,0,7.74240202181578,71.7851712761284,0.6,1,3416.54467635567
753,0,48,0,13,78966,0,0,0,1,3,5,39,0,21420,6,6,0,0,0,0,3,8,1,3,0,1,7.78364059622125,117.120149526232,0.6,1,4375.25414608321
757,0,51,0,13,51513,0,0,0,0,4,7,42,0,6650,4,1,0,33388,2,1,4,17,1,3,0,2,3.95124371858143,73.8130206297022,0.7,1,3624.32561325447
